title,price,rating,total_reviews,product_description,shoe type,merk,review1,review_rating1,review2,review_rating2,review3,review_rating3,review4,review_rating4,review5,review_rating5,review6,review_rating6,review7,review_rating7,review8,review_rating8,review9,review_rating9,review10,review_rating10
clymb outdoor sports running shoes for mens boy,₹279.00,2.9 out of 5 stars,2389 ratings,elevate your style with this classy pair of running shoe from the house of clymb brand. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,clymb outdoor,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bourge men's loire-z126 running shoes,₹479.00,3.9 out of 5 stars,11520 ratings,the product will be an excellent pick for you. it ensures an easy maintenance.,men,bourge men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
t-rock men's sneaker,₹430.00,3.3 out of 5 stars,1251 ratings,flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of t-rock  brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. this pair is having classic style which will add glamour to your look. these shoes go well with your casual wear. team it with your casual attire to complete your perfect casual or party look.,men,t-rock men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
robbie jones sneakers casual canvas fabric colour shoes for men and boys,₹499.00,4.2 out of 5 stars,3 ratings,robbie jones shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. they are exclusively designed to match the latest trends of the new generation. this pair of shoes is sure to make you look smart & classy. these will go with most of your casual outfits. this product is made of premium quality and highly material. wearing this prime quality amazing and cozy shoe with the combination of jean and t-shirt. it presents standard look to your personality. we are always providing latest fashion shoes for men's casual shoes for men.,men,robbie jones,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
sparx men's sd0323g sneakers,₹499.00,4.2 out of 5 stars,20110 ratings,sparx is a spectacular range of footwear from the house of relaxo footwears ltd. a name trusted among millions of people in india and across the world for delivering unmatched quality. since its inception the company has established a benchmark for bringing the finest range of footwears.  sparx the most stylish range of shoes sandals and slippers are exclusively designed to match the latest trends of the new generation. known for its sturdy and stylish designs sparx is an iconic youth brand for those who dare to explore the world. sparx is a spectacular range of footwear from the house of relaxo footwears ltd. a name trusted among millions of people in india and across the world for delivering unmatched quality. since its inception the company has established a benchmark for bringing the finest range of footwears. a perfect combination of comfort style and workmanship sparx is all about confidence and making a fashion statement. its flaunting design pattern sparks a cool statement as you take a step ahead in them. ,men,sparx men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
inklenzo white shoes for mens for daily use,₹449.00,3.5 out of 5 stars,224 ratings,casual shoes for boys and mens in white colour,men,inklenzo white,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
robbie jones white men casual sneakers shoes for men and white,₹499.00,3.3 out of 5 stars,36 ratings,robbie jones has a vast collection of casual shoes for men. you can explore our range of casual shoes  daily shoes or lifestyle shoes.take your pick from an array of sports shoes in vibrant colours like red yellow green blue brown black grey olive pink beige and white. designed for top performance these shoes match the way you play or run. available in materials like leather canvas suede leather faux leather mesh etc these shoes are lightweight comfortable sturdy and extremely sporty. the sole of all robbie jones shoes is designed to provide an increased amount of comfort and the material is good enough to provide an improved fit. these shoes are easy to maintain and last for a really long time given to their durability.,men,robbie jones,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
knoos men's loafer,₹449.00,3.8 out of 5 stars,9184 ratings,elevate your style with this classy pair of loafer from the house of knoos brand. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,knoos men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men's boss-ace uniform dress shoe,₹559.00,4.1 out of 5 stars,25 ratings,very stylish and comfortable shoes.,men,bata men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
road runner men's sneaker shoes,₹399.00,3.6 out of 5 stars,4 ratings,elevate your style with this classy pair of sneaker from the house of road runner brand. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,road runner,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
